link,index,title,artist,rating,has_audio,has_video,date,uploader,total_downloads
patches.php?mode=show&unit=G3&ID=6931,6931,Harmonics in A-moll,Niezly_Skurwiel,1.0,False,False,2013-04-25,Niezly_Skurwiel,1135
patches.php?mode=show&unit=G3&ID=6932,6932,Light overdrive + clean,Niezly_Skurwiel,3.0,False,False,2013-04-25,Niezly_Skurwiel,1525
patches.php?mode=show&unit=G3&ID=6933,6933,Vibe + clean,Niezly_Skurwiel,3.0,False,False,2013-04-25,Niezly_Skurwiel,1227
patches.php?mode=show&unit=G3&ID=6934,6934,Acoustic for verse,Niezly_Skurwiel,4.0,False,False,2013-04-25,Niezly_Skurwiel,1604
patches.php?mode=show&unit=G3&ID=6935,6935,Big Distortion,Niezly_Skurwiel,4.0,False,False,2013-04-25,Niezly_Skurwiel,1146
patches.php?mode=show&unit=G3&ID=6929,6929,Heavy Distorion,me,3.0,False,False,2013-04-24,gasty27,1040
patches.php?mode=show&unit=G3&ID=6930,6930,Heavy Distorion update,gasty27,3.0,False,True,2013-04-24,gasty27,1176
patches.php?mode=show&unit=G3&ID=6903,6903,G3X,Zoom,4.5,False,False,2013-04-23,Par,2619
patches.php?mode=show&unit=G3&ID=6879,6879,hey joe,hendrix,4.8,True,False,2013-04-09,mrk wmson,5651
patches.php?mode=show&unit=G3&ID=6846,6846,Isaias 9,Rodolfo Abrantes,5.0,False,True,2013-03-23,dudusalvi,1004
patches.php?mode=show&unit=G3&ID=6847,6847,G2.1 Default patches para zoom g3x. zip file,Zoom,1.0,False,False,2013-03-23,Bassergio,1558
patches.php?mode=show&unit=G3&ID=6842,6842,UPDATE - Bass guitar for loops 1.1,Bass,4.9,True,False,2013-03-21,Darkharian,3603
patches.php?mode=show&unit=G3&ID=6835,6835,BitDelay v0.1,n/a,3.3,False,False,2013-03-19,nssone,970
patches.php?mode=show&unit=G3&ID=6833,6833,Hotel California solo,eagles,3.5,False,True,2013-03-18,localhero635,5867
patches.php?mode=show&unit=G3&ID=6824,6824,Joe Satriani tone,Joe Satriani,4.0,False,False,2013-03-15,Jethro Viloria,3850
patches.php?mode=show&unit=G3&ID=6825,6825,Shimery piano sound,Jethro Viloria,1.0,False,False,2013-03-15,Jethro Viloria,1579
patches.php?mode=show&unit=G3&ID=6826,6826,When love and hate collide,Def Leppard,5.0,False,False,2013-03-15,Jethro Viloria,975
patches.php?mode=show&unit=G3&ID=6827,6827,La luna,Pedro's Mind,1.5,False,True,2013-03-15,Jethro Viloria,777
patches.php?mode=show&unit=G3&ID=6819,6819,Du Hast,Rammstein,2.5,False,False,2013-03-13,Divaxz,1880
patches.php?mode=show&unit=G3&ID=6806,6806,Bass guitar for Loops,Bass,5.0,True,False,2013-03-03,Darkharian,2211
patches.php?mode=show&unit=G3&ID=6787,6787,Solo de like a stone,Audioslave,1.0,False,False,2013-02-23,Cheko montesino...,1545
patches.php?mode=show&unit=G3&ID=6788,6788,Acustic ( nothing else matters ),Metallica,4.0,False,False,2013-02-23,Cheko montesino...,4988
